[00:00:26.234,161] <dbg> bttester_mesh: fault_get_cur: 
*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.901,977] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.908,355] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.908,386] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.908,416] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.909,301] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.909,423] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.909,454] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.909,484] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.909,484] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.955,108] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.019,104] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.019,134] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.056,396] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.130,950] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.130,950] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.152,160] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.210,693] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.210,693] <wrn> bttester_mesh: Loading default comp data
[00:00:06.210,998] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.644,165] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.701,019] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:08.930,267] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:08.930,297] <dbg> bttester_mesh: config_prov: 
[00:00:08.930,297] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:08.946,380] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:08.946,441] <dbg> bttester_mesh: start: 
[00:00:08.946,533] <inf> bt_mesh_provisionee: Device UUID: 03793c15-cfa0-45e3-84cc-b0ef39cb31b1
[00:00:08.948,120] <inf> bt_mesh_provisionee: Device UUID: 03793c15-cfa0-45e3-84cc-b0ef39cb31b1
[00:00:08.948,120] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:08.968,231] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:08.968,231] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:11.435,638] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:11.443,267] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:11.443,298] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:13.171,051] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:13.171,081] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:14.535,095] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:14.535,156] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:14.538,543] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:14.538,543] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:14.625,305] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:14.625,335] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:14.628,692] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:14.628,723] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:14.993,316] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:14.993,316] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:15.088,134] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:15.088,165] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:15.091,552] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:15.091,583] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:15.642,089] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:15.642,120] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:15.736,785] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 16
[00:00:15.736,816] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:15.792,480] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 16
[00:00:15.792,510] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:15.796,081] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 20
[00:00:15.796,081] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:15.900,146] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 16
[00:00:15.900,177] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:15.903,656] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 8
[00:00:15.903,686] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:15.905,212] <dbg> bttester_mesh: model_bound_cb: remote addr 0x0001 key_idx 0x0000 model 0x71de8
[00:00:16.007,385] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 16
[00:00:16.007,415] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:16.011,108] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 8
[00:00:16.011,138] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:16.012,756] <dbg> bttester_mesh: model_bound_cb: remote addr 0x0001 key_idx 0x0000 model 0x71e14
[00:00:16.114,349] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 16
[00:00:16.114,410] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:16.118,041] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 8
[00:00:16.118,072] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:16.119,598] <dbg> bttester_mesh: model_bound_cb: remote addr 0x0001 key_idx 0x0000 model 0x71ff8
