*** Booting Zephyr OS build zephyr-v3.5.0-2525-gd2151aa114cb ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:07.495,361] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:07.495,391] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:07.495,422] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.5 Build 99
[00:00:07.497,619] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:07.497,650] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:07.497,680] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:14.420,043] <dbg> bttester_bap: broadcast_sink_setup: 
[00:00:14.578,613] <dbg> bttester_bap: broadcast_scan_start: 
[00:00:14.590,423] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:14.786,682] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:15.025,329] <dbg> bttester_bap: baa_check: Found BAA with ID 0xF6703B, addr C0:07:E8:79:0D:90 (public), sid 0x00, inter
[00:00:15.508,544] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:15.915,435] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:16.329,193] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:16.827,331] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:17.244,262] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:17.647,308] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.266,082] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.569,824] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.986,724] <dbg> bttester_bap: baa_check: Found BAA with ID 0xE68B84, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
