[00:00:19.876,922] <dbg> bttester: tester_event: service 0x03 opcode 0x82
[00:00:19.878,417] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x08
[00:00:19.878,448] <dbg> bttester: tester_event: service 0x01 opcode 0x83
*** Booting Zephyr OS build v4.0.0-2578-g6b65d60d49a0 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:06.000,213] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.004,699] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,882] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,035] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,218] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,401] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,554] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,706] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,889] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,042] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,225] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,408] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,591] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,744] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,866] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.006,896] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.006,927] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.007,019] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,202] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,385] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,537] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,720] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,965] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,148] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.008,209] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.008,239] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.008,239] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.033,691] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.033,721] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.070,220] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.605,804] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x05 index 0x00
[00:00:06.605,834] <dbg> bttester: tester_rsp_with_index: service 0x03 opcode 0x05 index 0x00 status 0x00
[00:00:11.616,851] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:11.617,431] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.617,553] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:11.670,471] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:11.670,501] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:11.672,149] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.672,302] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.672,393] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.672,546] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.629,608] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x02 index 0x00
[00:00:13.711,669] <dbg> bttester: tester_event: service 0x03 opcode 0x81
[00:00:13.713,592] <dbg> bttester: tester_event: service 0x03 opcode 0x81
[00:00:13.831,665] <dbg> bttester: tester_event: service 0x03 opcode 0x82
[00:00:13.951,660] <dbg> bttester: tester_event: service 0x03 opcode 0x82
