[00:01:32.686,950] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:32.687,133] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:32.687,316] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:32.687,500] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:32.687,805] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-1675-g9cebb3ff6339 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.956,726] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.960,784] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,968] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,151] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,334] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,486] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,639] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,975] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,127] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,310] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,493] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,677] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,829] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,951] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.962,982] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.963,012] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.963,104] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,287] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,470] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,623] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,806] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,050] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,233] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.964,294] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.964,324] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.964,355] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.999,053] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.999,084] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.062,347] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.062,377] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.111,450] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.111,450] <wrn> bttester_mesh: Loading default comp data
[00:00:06.111,724] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.544,891] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.596,191] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:08.928,070] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:08.928,100] <dbg> bttester_mesh: config_prov: 
[00:00:08.928,131] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:08.933,563] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:08.933,593] <dbg> bttester_mesh: start: 
[00:00:08.933,715] <inf> bt_mesh_provisionee: Device UUID: 1aa93d53-d391-4f2b-b899-8c121cdf8ea2
[00:00:08.933,837] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.933,990] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.934,753] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.934,936] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.935,241] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.935,516] <inf> bt_mesh_provisionee: Device UUID: 1aa93d53-d391-4f2b-b899-8c121cdf8ea2
[00:00:08.935,546] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:08.936,401] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.936,981] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.937,194] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.937,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.937,683] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.937,957] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.938,232] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.938,415] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.938,598] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.939,025] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.939,270] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.987,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.987,792] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.988,006] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.996,063] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x08 index 0x00
[00:00:08.996,063] <dbg> bttester_mesh: ivu_test_mode: enable 0x01
[00:00:08.996,093] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x08 index 0x00 status 0x00
[00:00:09.034,881] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.035,034] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.035,247] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.035,430] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.035,736] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.937,438] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.937,561] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.937,866] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.938,049] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.938,262] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.938,629] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.938,873] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.987,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.987,762] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.988,006] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.001,892] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.001,922] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:14.043,975] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.044,189] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.044,433] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.099,151] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.099,304] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.099,517] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.099,700] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.100,006] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.100,280] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.100,524] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.100,708] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.100,921] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.101,104] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.101,379] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.120,117] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.120,239] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.120,483] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.120,666] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.120,880] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.121,276] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.121,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.173,034] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.173,187] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.173,400] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.173,614] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.173,889] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.204,986] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.205,108] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.205,383] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.205,566] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.205,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.206,176] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.206,420] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.210,235] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.210,418] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.210,632] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.210,815] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.211,120] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.439,544] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.439,666] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.439,910] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.440,093] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.440,307] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.440,643] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.440,887] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.495,422] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.495,574] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.495,788] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.496,002] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.496,276] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.021,667] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.021,789] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.022,308] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.022,491] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.022,674] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.023,040] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.023,284] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.076,202] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.076,354] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.076,568] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.076,782] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.077,056] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,170] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,262] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,536] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,719] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,933] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.107,269] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.107,513] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.111,541] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.111,694] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.111,907] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.112,121] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.112,396] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.143,493] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.143,585] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.143,859] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.144,042] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.144,256] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.144,592] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.144,836] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.148,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.149,017] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.149,230] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.149,444] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.149,719] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.179,809] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.179,901] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.180,175] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.180,389] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.180,603] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.180,999] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.181,243] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.185,241] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.185,394] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.185,607] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.185,821] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.186,096] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.428,588] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.428,680] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.428,955] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.429,138] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.429,351] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.429,840] <wrn> net_buf: Timeout discarded. No blocking in syswq
