[00:01:03.867,950] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.868,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.868,316] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.868,499] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.868,713] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.869,140] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.869,384] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.873,260] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.873,443] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.873,626] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.874,053] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.874,359] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-735-geb4f2fb44a0e ***
[00:00:00.250,823] <dbg> bttester: tester_init: Initializing tester
[00:00:06.019,165] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.023,468] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.023,651] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.023,803] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,017] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,169] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,475] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,658] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,810] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,993] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.025,177] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.025,360] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.025,512] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.025,634] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.025,665] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.025,695] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.025,787] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.025,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.026,153] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.026,306] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.026,489] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.026,733] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.026,947] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.026,977] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.027,008] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.027,038] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.053,833] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.053,863] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.092,254] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.092,254] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.106,842] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.106,842] <wrn> bttester_mesh: Loading default comp data
[00:00:06.107,147] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.367,034] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.387,115] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.705,413] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.705,444] <dbg> bttester_mesh: config_prov: 
[00:00:11.705,474] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.730,804] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.730,865] <dbg> bttester_mesh: start: 
[00:00:11.730,957] <inf> bt_mesh_provisionee: Device UUID: 719296ec-a902-456c-b164-18ddc2d86f63
[00:00:11.731,109] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.731,262] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.731,842] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.731,994] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.732,299] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.732,604] <inf> bt_mesh_provisionee: Device UUID: 719296ec-a902-456c-b164-18ddc2d86f63
[00:00:11.732,635] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:11.733,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.734,191] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.734,375] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.734,558] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.734,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.735,534] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.735,809] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.735,992] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.736,206] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.736,633] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.736,938] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.772,460] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:11.772,491] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:11.791,015] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.791,198] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.791,442] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.850,311] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.850,555] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.850,799] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.910,247] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.910,400] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.910,644] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.910,797] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.911,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.911,621] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.911,865] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.912,048] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.912,261] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.912,445] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.912,750] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.948,211] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.948,333] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.948,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.948,760] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.948,974] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.949,401] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.949,645] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.008,544] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.008,728] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.008,911] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.009,124] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.009,460] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.035,430] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.035,552] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.035,827] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.036,010] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.036,224] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.036,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.036,773] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.040,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.040,771] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.040,985] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.041,168] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.041,473] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.252,746] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.252,868] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.253,387] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.253,570] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.253,784] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.254,028] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.254,302] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.307,800] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.307,983] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.308,166] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.308,380] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.308,746] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.034,301] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.034,515] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.034,973] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.035,156] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.035,369] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.035,736] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.035,980] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.081,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.082,122] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.082,336] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.082,550] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.082,855] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.121,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.122,009] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.122,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.122,467] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.122,680] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.123,077] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.123,321] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.127,349] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.127,502] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.127,716] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.127,929] <wrn> net_buf: Timeout discarded. No blocking in syswq
