*** Booting Zephyr OS build zephyr-v3.5.0-1863-g23324fc5bae4 ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:07.180,786] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:07.180,816] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:07.180,847] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.5 Build 99
[00:00:07.183,013] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:07.183,044] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:07.183,074] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:14.090,240] <dbg> bttester_bap: broadcast_sink_setup: 
[00:00:14.200,592] <dbg> bttester_bap: broadcast_scan_start: 
[00:00:14.227,233] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:14.517,883] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:14.822,265] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:15.242,248] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:15.552,886] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:15.852,233] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:16.194,580] <dbg> bttester_bap: baa_check: Found BAA with ID 0x009F59, addr C0:07:E8:79:0D:90 (public), sid 0x00, inter
[00:00:16.389,129] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:16.687,896] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:16.987,884] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:17.288,513] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.108,520] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.312,896] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.722,869] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:19.020,385] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:19.337,890] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:19.631,011] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:19.931,030] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:20.227,905] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:20.529,144] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:20.827,911] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:21.132,904] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:21.427,886] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
