[00:00:20.281,188] <dbg> bttester: tester_event: service 0x03 opcode 0x82
[00:00:20.282,592] <dbg> bttester: tester_event: service 0x03 opcode 0x82
[00:00:20.284,118] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x08
[00:00:20.284,149] <dbg> bttester: tester_event: service 0x01 opcode 0x83
*** Booting Zephyr OS build v4.0.0-2578-g6b65d60d49a0 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:06.000,061] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.004,211] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,394] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,760] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,913] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,065] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,249] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,401] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,584] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,767] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,920] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,103] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,286] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,378] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.006,408] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.006,439] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.006,530] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,713] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,896] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,080] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,263] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,476] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,690] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.007,720] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.007,751] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.007,781] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.042,907] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.042,938] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.070,343] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.587,677] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x05 index 0x00
[00:00:06.587,738] <dbg> bttester: tester_rsp_with_index: service 0x03 opcode 0x05 index 0x00 status 0x00
[00:00:22.613,647] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:22.614,166] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.614,288] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:22.640,899] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:22.640,899] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:22.642,578] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.642,730] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.642,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.642,974] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:24.628,570] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x02 index 0x00
[00:00:24.742,095] <dbg> bttester: tester_event: service 0x03 opcode 0x81
[00:00:24.982,055] <err> bt_l2cap: Credits overflow
[00:00:25.102,050] <dbg> bttester: tester_event: service 0x03 opcode 0x82
