[00:00:32.320,892] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.321,014] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.321,289] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.321,472] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.321,685] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.322,143] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.322,418] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.326,263] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.326,446] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.326,629] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.326,812] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:32.327,117] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.972,351] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.976,318] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,501] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,684] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,867] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,020] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,172] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,325] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,508] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,661] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,844] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,027] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,179] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,363] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,454] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.978,485] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.978,515] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.978,607] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,790] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,973] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,156] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,339] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,553] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,766] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.979,797] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.979,827] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.979,858] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.061,462] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.061,492] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.098,602] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.098,632] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.160,919] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.160,919] <wrn> bttester_mesh: Loading default comp data
[00:00:06.161,254] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.616,027] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.673,767] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.012,115] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.012,145] <dbg> bttester_mesh: config_prov: 
[00:00:12.012,176] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.037,567] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.037,597] <dbg> bttester_mesh: start: 
[00:00:12.037,719] <inf> bt_mesh_provisionee: Device UUID: e368ccb8-14b2-42a3-966f-221fdc42d34f
[00:00:12.037,841] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.038,024] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.038,604] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.038,787] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.039,062] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.039,367] <inf> bt_mesh_provisionee: Device UUID: e368ccb8-14b2-42a3-966f-221fdc42d34f
[00:00:12.039,398] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.040,222] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.040,924] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.041,107] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.041,290] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.041,625] <wrn> net_buf: Timeout discarded. No blocking in syswq
