*** Booting Zephyr OS build v3.5.0-rc1-220-gf2af4a7bfd62 ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:06.984,588] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.984,619] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.984,649] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.5 Build 0
[00:00:06.986,846] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.986,877] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.986,907] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:07.301,055] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:15.250,427] <dbg> bt_vcp_vol_ctlr: primary_discover_func: [ATTRIBUTE] handle 0x00A0
[00:00:15.250,457] <dbg> bt_vcp_vol_ctlr: primary_discover_func: Primary discover complete
[00:00:15.350,494] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00A3
[00:00:15.350,524] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Volume state
[00:00:15.350,616] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Subscribed to handle 0x00A3
[00:00:15.350,646] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00A6
[00:00:15.350,646] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Flags
[00:00:15.350,708] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Subscribed to handle 0x00A6
[00:00:15.350,738] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00A9
[00:00:15.350,738] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Control Point
[00:00:15.650,451] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Setup complete for vol_ctlr
[00:00:15.950,469] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: [ATTRIBUTE] handle 0x00A1
[00:00:15.950,531] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Include UUID 1843
[00:00:16.750,457] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: [ATTRIBUTE] handle 0x00A2
[00:00:16.750,518] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Include UUID 1845
[00:00:17.550,415] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Discover include complete for vol_ctlr: 1 AICS and 1 VOCS
[00:00:17.550,445] <dbg> bttester_vcp: vcp_vol_ctlr_discover_cb: Discovery done with 1 VOCS, 1 AICS
[00:00:17.695,129] <dbg> bttester_aics: aics_state_get: AICS State
[00:00:17.751,739] <dbg> bttester_aics: aics_state_cb: AICS state callback (0)
[00:00:17.852,142] <dbg> bttester_aics: aics_man_gain_set: AICS set manual gain mode
[00:00:17.951,568] <dbg> bttester_aics: aics_set_man_gain_cb: AICS set manual gain cb (132)
[00:00:18.060,668] <dbg> bttester_aics: aics_state_get: AICS State
[00:00:18.151,733] <dbg> bttester_aics: aics_state_cb: AICS state callback (0)
