[00:01:37.453,857] <dbg> bttester_mesh: fault_get_cur: 
[00:01:37.454,376] <err> bt_mesh_access: Failed to publish (err -22)
[00:01:38.453,521] <dbg> bttester_mesh: fault_get_cur: 
[00:01:38.454,071] <err> bt_mesh_access: Failed to publish (err -22)
*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.999,053] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.003,234] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,417] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,570] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,753] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,936] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,089] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,241] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,394] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,760] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,913] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,096] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,249] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,371] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.005,401] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.005,432] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.005,523] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,706] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,889] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,042] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,225] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,469] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,683] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.006,713] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.006,744] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.006,774] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.078,186] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.078,216] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.111,114] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.111,145] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.206,054] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.206,054] <wrn> bttester_mesh: Loading default comp data
[00:00:06.206,390] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.660,797] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.755,126] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.022,338] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.022,369] <dbg> bttester_mesh: config_prov: 
[00:00:12.022,399] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.075,500] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.075,531] <dbg> bttester_mesh: start: 
[00:00:12.075,653] <inf> bt_mesh_provisionee: Device UUID: e368ccb8-14b2-42a3-966f-221fdc42d34f
[00:00:12.075,775] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.075,927] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.076,507] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.076,690] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.076,995] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.077,301] <inf> bt_mesh_provisionee: Device UUID: e368ccb8-14b2-42a3-966f-221fdc42d34f
[00:00:12.077,331] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.078,216] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.078,918] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.079,101] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.079,284] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.079,620] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.079,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.080,139] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.080,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.080,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.080,902] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.081,146] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.129,669] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.129,699] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:12.135,009] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.135,192] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.135,437] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.184,478] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.184,661] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.184,906] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.236,816] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.236,999] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.237,213] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.237,396] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.237,701] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.237,945] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.238,220] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.238,403] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.238,586] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.238,769] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.239,074] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.280,761] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.280,883] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.281,372] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.281,555] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.281,768] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.281,982] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.282,226] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.333,343] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.333,496] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.333,709] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.333,923] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.334,228] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.355,285] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.355,407] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.355,682] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.355,865] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.356,323] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.356,536] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.356,781] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.360,626] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.360,778] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.360,992] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.361,175] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.361,480] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.563,262] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.563,415] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.563,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.564,147] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.564,361] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.564,697] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.564,941] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.618,835] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.619,079] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.619,262] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.619,476] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.619,781] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.894,683] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.894,805] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.895,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.895,507] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.895,721] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.896,057] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.896,301] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.948,425] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.948,608] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.948,791] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.949,066] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.949,371] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.972,381] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.972,503] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.972,747] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.972,930] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.973,144] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.973,510] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.973,754] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.977,874] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.978,027] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.978,240] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.978,424] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.978,729] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.000,823] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.000,946] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.001,190] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.001,373] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.001,586] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.002,136] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.002,380] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.006,408] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.006,561] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.006,774] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.006,988] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.007,263] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.033,355] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.033,477] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.033,752] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.033,935] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.034,149] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.034,545] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.034,790] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.038,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.039,031] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.039,245] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.039,428] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.039,733] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.749,755] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.749,847] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.750,122] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.750,305] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.750,518] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.751,037] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.751,281] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.804,321] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.804,473] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.804,687] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.804,901] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.805,206] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,273] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,364] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,639] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.837,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.837,341] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.837,585] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.841,613] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.841,766] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.841,979] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.842,193] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.842,498] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.867,553] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.867,645] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.867,919] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.868,103] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.868,316] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.868,652] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.868,896] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.872,680] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.872,863] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.873,046] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.873,260] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.873,565] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.097,991] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.098,083] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.098,358] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.098,541] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.098,754] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.099,121] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.099,365] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.150,573] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.150,756] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.150,939] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.151,153] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.151,458] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.197,509] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.197,601] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.197,875] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.198,059] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.198,272] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.198,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.198,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.202,850] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.203,002] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.203,216] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.203,399] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.203,704] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.232,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.232,940] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.233,215] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.233,398] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.233,612] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.233,978] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.234,222] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.238,006] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.238,189] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.238,372] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.238,586] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.238,891] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.452,239] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:14.461,425] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.461,608] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:14.461,608] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:14.462,249] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.462,402] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.462,615] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.463,073] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.463,317] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.471,801] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.471,984] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.472,198] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.472,381] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.472,686] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.486,755] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.486,846] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.487,152] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.487,365] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.487,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.487,823] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.488,067] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.548,217] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.548,400] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.548,583] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.548,767] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.549,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.593,170] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.593,292] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.593,566] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.593,750] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.593,933] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.594,329] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.594,573] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.598,144] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.598,327] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.598,510] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.598,724] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.599,090] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.240,661] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:16.240,722] <dbg> bttester: tester_event: service 0x04 opcode 0x85
