*** Booting Zephyr OS build v4.0.0-rc2-191-gdc2c13bebdba ***
[00:00:00.250,915] <dbg> bttester: tester_init: Initializing tester
[00:00:05.957,061] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.963,226] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:05.963,256] <inf> fs_nvs: alloc wra: 2, f98
[00:00:05.963,256] <inf> fs_nvs: data wra: 2, a4
[00:00:05.967,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,712] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,895] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,048] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,231] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,414] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,566] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,750] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,933] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,085] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,268] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,421] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,543] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.969,573] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.969,604] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.969,696] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,879] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,123] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,214] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.970,245] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.005,249] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.005,249] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.057,891] <dbg> bttester: cmd_handler: cmd service 4 opcode 4 index 0
[00:00:06.057,922] <wrn> bttester_mesh: Loading default comp data
[00:00:06.058,166] <wrn> bt_mesh_access: Unused space in relation list: 3
[00:00:06.318,023] <dbg> bttester: tester_rsp_with_index: service 4 opcode 4 index 0 status 0
[00:00:06.365,081] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.365,081] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.407,073] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:11.494,812] <dbg> bttester: cmd_handler: cmd service 4 opcode 2 index 0
[00:00:11.494,842] <dbg> bttester_mesh: config_prov: 
[00:00:11.494,873] <dbg> bttester: tester_rsp_with_index: service 4 opcode 2 index 0 status 0
[00:00:11.500,305] <dbg> bttester: cmd_handler: cmd service 4 opcode 120 index 0
[00:00:11.500,366] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:11.533,752] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.533,935] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.534,118] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:11.534,179] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:11.534,210] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:11.544,586] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.544,769] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.545,471] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.545,806] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.545,989] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.546,295] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.546,447] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:11.546,478] <dbg> bttester: tester_event: service 4 opcode 131
[00:00:11.546,905] <wrn> bt_mesh_blob_srv: Abandoning transfer.
[00:00:11.547,241] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.547,485] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.550,933] <dbg> bttester: tester_rsp_with_index: service 4 opcode 120 index 0 status 0
