*** Booting Zephyr OS build v4.0.0-3538-g2a6e5902cc73 ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.250,976] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.255,340] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.255,340] <inf> fs_nvs: alloc wra: 2, ad0
[00:00:00.255,371] <inf> fs_nvs: data wra: 2, 5a0
[00:00:00.255,401] <dbg> bttester: tester_init: Initializing tester
[00:00:05.951,904] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.956,085] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,237] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,420] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,604] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,756] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,909] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,092] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,244] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,397] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,611] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,794] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,977] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,129] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,251] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.958,282] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.958,312] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.958,404] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,862] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,953] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.958,984] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.994,750] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.994,781] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.038,055] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.038,085] <wrn> bttester_mesh: Loading default comp data
[00:00:06.038,330] <wrn> bt_mesh_access: Unused space in relation list: 3
[00:00:06.473,541] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.525,451] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.525,482] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.572,570] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.652,679] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.652,709] <dbg> bttester_mesh: config_prov: 
[00:00:12.652,740] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.686,004] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.686,065] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:12.815,704] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.815,856] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.816,070] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:12.816,101] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:12.816,162] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.826,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,477] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.827,117] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.827,453] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.827,636] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.827,972] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.828,125] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:12.828,155] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:12.828,613] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.829,284] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.829,498] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.833,343] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.833,526] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.833,709] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.833,892] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.834,197] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.012,786] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x05 index 0x00
[00:00:13.012,817] <dbg> bttester_mesh: reset: 
[00:00:13.013,061] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.775,177] <dbg> bttester_mesh: prov_reset: 
[00:00:13.775,299] <inf> bt_mesh_provisionee: Device UUID: 25dd047f-19da-40d0-80d5-81602b763c67
[00:00:13.781,158] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.781,341] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.781,585] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.781,951] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.782,165] <inf> bt_mesh_provisionee: Device UUID: 25dd047f-19da-40d0-80d5-81602b763c67
[00:00:13.782,196] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x05 index 0x00 status 0x00
[00:00:13.783,843] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.783,996] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.784,210] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.784,393] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.784,759] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.786,804] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.787,048] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.787,231] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.787,445] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.787,902] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.788,146] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.849,731] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.849,945] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.850,158] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.882,812] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:13.882,843] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:13.906,188] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.906,341] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.906,555] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.906,738] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.907,012] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.927,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.928,039] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.928,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
