*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.253,356] <dbg> bttester: tester_init: Initializing tester
[00:00:06.033,599] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.062,316] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.062,347] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.062,377] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.064,392] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.064,575] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.064,605] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.064,636] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.064,636] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.101,348] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.519,714] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.519,775] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.578,582] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.657,226] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.657,257] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.709,320] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.709,655] <dbg> bt_vcp_vol_rend: prepare_aics_inst: AICS P 0x2000364c
[00:00:06.709,747] <dbg> bt_vcp_vol_rend: prepare_aics_inst: AICS P 0x200033b0
[00:00:06.709,838] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:12.818,695] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:12.933,776] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:12.933,807] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:12.935,302] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:15.624,206] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.286,712] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:18.059,478] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:19.840,606] <dbg> bttester: cmd_handler: cmd service 0x0b opcode 0x03 index 0x00
[00:00:19.840,667] <dbg> bttester_vcp: vocs_description_cb: VOCS desctripion callback (0)
[00:00:19.840,698] <dbg> bttester_vcp: vocs_description_cb: VOCS desctripion callback (0)
[00:00:19.840,728] <dbg> bttester: tester_rsp_with_index: service 0x0b opcode 0x03 index 0x00 status 0x00
[00:00:30.435,424] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:30.435,455] <dbg> bttester: tester_event: service 0x01 opcode 0x83
