*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.251,007] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.254,425] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.254,425] <inf> fs_nvs: alloc wra: 1, 8f0
[00:00:00.254,455] <inf> fs_nvs: data wra: 1, 7bc
[00:00:00.254,516] <dbg> bttester: tester_init: Initializing tester
[00:00:05.987,152] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.991,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,760] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,912] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,095] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,279] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,431] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,584] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,736] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,919] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,103] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,286] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,469] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,652] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,774] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.993,804] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.993,835] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.993,896] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,110] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,354] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,445] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.994,476] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.025,451] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.025,482] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.069,000] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.069,030] <wrn> bttester_mesh: Loading default comp data
[00:00:06.069,244] <wrn> bt_mesh_access: Unused space in relation list: 5
[00:00:06.518,157] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.544,281] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.544,311] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.588,012] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.668,518] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.668,548] <dbg> bttester_mesh: config_prov: 
[00:00:11.668,579] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.704,559] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.704,589] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:11.781,402] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.781,555] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.781,768] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:11.781,799] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:11.781,860] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:11.789,276] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.789,459] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.790,100] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.790,466] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.790,649] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.790,954] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.791,107] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:11.791,107] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:11.791,625] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:11.792,327] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.792,572] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.800,262] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.800,445] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.800,628] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.800,811] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.801,177] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.824,157] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x05 index 0x00
[00:00:11.824,157] <dbg> bttester_mesh: reset: 
[00:00:11.824,401] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.462,341] <dbg> bttester_mesh: prov_reset: 
[00:00:12.462,432] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:12.465,667] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.465,881] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.466,125] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.466,522] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.466,735] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:12.466,766] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x05 index 0x00 status 0x00
[00:00:12.468,475] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.468,627] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.468,841] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.469,024] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.469,573] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.470,703] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.470,977] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.471,160] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.471,374] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.471,771] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.472,015] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.587,615] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.587,829] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.588,043] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.649,871] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.650,024] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.650,238] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.650,421] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.650,726] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.468,963] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.469,085] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.469,360] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.469,543] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.469,757] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.470,092] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.470,336] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.522,338] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.522,521] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.522,766] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.569,122] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:17.569,152] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:17.579,223] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.579,376] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.579,589] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.579,772] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.580,078] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.614,257] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.614,349] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.614,593] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.614,898] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.615,112] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.615,478] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.615,722] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.665,313] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.665,496] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.665,679] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.665,863] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.666,168] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.689,270] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.689,361] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.689,605] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.689,788] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.690,002] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.690,368] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.690,612] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.745,635] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.745,819] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.746,002] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.746,185] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.746,490] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.788,604] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.788,696] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.788,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.789,154] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.789,367] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.789,733] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.789,978] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.793,823] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.793,975] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.794,189] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.794,372] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.794,677] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.002,929] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.003,051] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.003,295] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.003,479] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.003,692] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.004,150] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.004,394] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.052,459] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.052,612] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.052,825] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.053,009] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.053,314] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.336,700] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.336,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.337,371] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.337,554] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.337,768] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.338,195] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.338,439] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.385,955] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.386,108] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.386,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.386,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.386,810] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.432,922] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.433,044] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.433,288] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.433,471] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.433,685] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.434,112] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.434,356] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.438,385] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.438,537] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.438,751] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.438,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.439,239] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.467,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.467,468] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.467,712] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.467,895] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.468,109] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.468,536] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.468,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.472,808] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.472,961] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.473,175] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.473,388] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.473,663] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.496,765] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.496,887] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.497,161] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.497,344] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.497,558] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.497,833] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.498,077] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.502,075] <wrn> net_buf: Timeout discarded. No blocking in syswq
