[00:00:05.924,316] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.930,541] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.930,572] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.930,603] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.931,549] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.931,610] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.931,640] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.931,671] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.978,302] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.978,302] <wrn> bttester_core: unknown id: 0x04
[00:00:05.978,363] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x01
*** Booting Zephyr OS build v4.0.0-4398-gf19e5bc577e2 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
