*** Booting Zephyr OS build v3.7.0-5411-g31fea97e05fd ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.954,223] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.954,437] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.954,589] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.954,772] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.954,925] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,108] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,261] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,413] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,596] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,749] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,115] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,268] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,390] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.956,420] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.956,451] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:05.956,542] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,726] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,878] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,061] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,244] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,458] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,672] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.957,702] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.957,733] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.099,334] <wrn> bttester_mesh: Loading default comp data
[00:00:06.099,609] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:14.580,657] <dbg> bttester_mesh: config_prov: 
[00:00:14.607,421] <dbg> bttester_mesh: start: 
[00:00:14.607,513] <inf> bt_mesh_provisionee: Device UUID: 0fb9bb61-c6b6-403c-bff5-d085a3a8ffe3
[00:00:14.607,666] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.607,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.608,459] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.608,642] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.608,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.609,191] <inf> bt_mesh_provisionee: Device UUID: 0fb9bb61-c6b6-403c-bff5-d085a3a8ffe3
[00:00:14.610,382] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.610,534] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.610,717] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.666,656] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.666,809] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.666,992] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.667,724] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.722,656] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.722,808] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.722,991] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.774,658] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.774,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.774,841] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.774,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,024] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,085] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,207] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,360] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,451] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,573] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,756] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,787] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,817] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.775,939] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.776,031] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.776,092] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.776,184] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.776,245] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.776,367] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.776,489] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.800,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.801,086] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.801,269] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.801,330] <wrn> net_buf: Timeout discarded. No blocking in syswq
