[00:00:19.900,238] <dbg> bttester: tester_event: service 0x03 opcode 0x82
[00:00:19.901,733] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x08
[00:00:19.901,733] <dbg> bttester: tester_event: service 0x01 opcode 0x83
*** Booting Zephyr OS build v4.0.0-2578-g6b65d60d49a0 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:06.012,542] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.016,632] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.016,815] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.016,967] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.017,181] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.017,333] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.017,517] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.017,669] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.017,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.018,005] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.018,188] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.018,341] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.018,524] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.018,707] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.018,798] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.018,829] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.018,890] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.018,951] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.019,165] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.019,317] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.019,500] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.019,683] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.019,897] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,111] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.020,141] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.020,172] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.020,202] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.031,646] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.031,677] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.089,202] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.638,885] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x05 index 0x00
[00:00:06.638,916] <dbg> bttester: tester_rsp_with_index: service 0x03 opcode 0x05 index 0x00 status 0x00
[00:00:12.655,578] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:12.656,097] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.656,219] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:12.762,817] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:12.762,817] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:12.764,495] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.764,648] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.764,739] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.764,892] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.673,767] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x02 index 0x00
[00:00:14.744,018] <dbg> bttester: tester_event: service 0x03 opcode 0x81
[00:00:15.724,517] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x02 index 0x00
[00:00:15.824,005] <dbg> bttester: tester_event: service 0x03 opcode 0x81
[00:00:15.945,526] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:16.065,551] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:16.184,509] <dbg> bttester: tester_event: service 0x03 opcode 0x83
[00:00:16.195,465] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:16.304,534] <dbg> bttester: tester_event: service 0x03 opcode 0x83
[00:00:16.315,460] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
