*** Booting Zephyr OS build v3.7.0-4790-g6f64f7755796 ***
[00:00:00.388,641] <dbg> bttester: tester_init: Initializing tester
[00:00:36.414,978] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.415,191] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.415,374] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.415,557] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.415,740] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.415,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.416,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.416,229] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.416,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.416,564] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.416,778] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.416,961] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.417,114] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.417,236] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:36.417,266] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:36.417,297] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:36.417,388] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.417,602] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.417,785] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.417,938] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.418,151] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.418,365] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:36.418,579] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:36.418,609] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:36.418,640] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:36.762,023] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:36.816,253] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:36.904,754] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:36.904,785] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.010,192] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.010,192] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.142,059] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.142,089] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.238,891] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.238,922] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:47.462,799] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.463,012] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.463,195] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.463,378] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.463,714] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.789,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.789,672] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.789,794] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.789,916] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:51.102,844] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:51.788,146] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:52.101,013] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:52.101,379] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:52.101,562] <wrn> net_buf: Timeout discarded. No blocking in syswq
