*** Booting Zephyr OS build v4.0.0-2838-g8316f097ce2a ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:06.037,902] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.065,887] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.065,917] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.065,917] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.067,901] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.068,115] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.068,145] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.068,176] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.068,176] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.096,130] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.509,979] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.510,040] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.542,755] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.636,718] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.637,237] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.673,889] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.673,889] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:12.710,937] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:12.822,601] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:12.822,601] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:12.824,096] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:12.824,951] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:15.575,561] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.238,037] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:17.948,577] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:19.324,554] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000dea4 dir 2
[00:00:19.324,615] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:19.324,615] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:19.324,645] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:19.324,676] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:19.324,676] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:19.324,707] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
