[00:01:27.165,924] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.166,046] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.166,290] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.166,473] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.166,687] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.167,175] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.167,419] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.171,295] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.171,478] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.171,722] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.171,936] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:27.172,210] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-1675-g9cebb3ff6339 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.976,470] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.980,773] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,957] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,140] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,323] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,475] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,628] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,811] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,116] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,299] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,482] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,666] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,940] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.982,971] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.983,001] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.983,093] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,276] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,459] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,642] <wrn> net_buf: Timeout discarded. No blocking in syswq
