[00:00:35.622,894] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.623,016] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.623,291] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.623,474] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.623,687] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.624,023] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.624,267] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.628,112] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.628,295] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.628,479] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.628,662] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.628,967] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.980,285] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.984,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,466] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,619] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,802] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,985] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,137] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,290] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,443] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,626] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,809] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,961] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,145] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,297] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,419] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.986,450] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
