[00:00:35.870,910] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.871,032] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.871,276] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.871,490] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.871,704] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.872,131] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.872,406] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.876,281] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.876,464] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.876,647] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.876,861] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.877,166] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-735-geb4f2fb44a0e ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:06.006,195] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.010,131] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,314] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,467] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,681] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,833] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,986] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,169] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,474] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,657] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,840] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,023] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,176] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,298] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.012,329] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.012,359] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.012,451] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,634] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,817] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,969] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,153] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,397] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,610] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.013,641] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.013,671] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.013,702] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.032,562] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.032,592] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.072,082] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.072,113] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.089,263] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.089,263] <wrn> bttester_mesh: Loading default comp data
[00:00:06.089,538] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.349,456] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.374,328] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:13.727,233] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.727,264] <dbg> bttester_mesh: config_prov: 
[00:00:13.727,294] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:13.746,978] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:13.747,039] <dbg> bttester_mesh: start: 
[00:00:13.747,131] <inf> bt_mesh_provisionee: Device UUID: 719296ec-a902-456c-b164-18ddc2d86f63
[00:00:13.747,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.747,436] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.747,985] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.748,168] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.748,474] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.748,779] <inf> bt_mesh_provisionee: Device UUID: 719296ec-a902-456c-b164-18ddc2d86f63
[00:00:13.748,779] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:13.749,572] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.750,244] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.750,427] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.750,610] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.750,946] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.751,190] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.751,464] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.751,647] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.751,861] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.752,197] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.752,441] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.790,405] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:13.790,435] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:13.806,060] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.806,243] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.806,488] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.863,616] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.863,830] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.864,074] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.914,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.914,672] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.914,886] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.915,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.915,374] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.915,649] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.915,924] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.916,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.916,290] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.916,473] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.916,778] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.961,486] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.961,700] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.961,944] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.962,127] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.962,341] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.962,799] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.963,073] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.013,854] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.014,007] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.014,221] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.014,434] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.014,709] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.061,798] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.061,920] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.062,194] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.062,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.062,591] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.062,927] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.063,171] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.067,016] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.067,169] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.067,382] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.067,565] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.067,871] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.306,427] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.306,549] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.306,793] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.306,976] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.307,189] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.307,769] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.308,044] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.371,215] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.371,368] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.371,582] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.371,795] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.372,070] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.671,020] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.671,142] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.671,661] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.671,844] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.672,058] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.672,546] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.672,790] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.724,090] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.724,243] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.724,456] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.724,670] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.724,945] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.760,040] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.760,162] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.760,406] <wrn> net_buf: Timeout discarded. No blocking in syswq
