*** Booting Zephyr OS build v4.0.0-3538-g2a6e5902cc73 ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.250,976] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.256,622] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.256,622] <inf> fs_nvs: alloc wra: 7, e30
[00:00:00.256,622] <inf> fs_nvs: data wra: 7, 27c
[00:00:00.256,683] <dbg> bttester: tester_init: Initializing tester
[00:00:05.965,393] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.969,543] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,726] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,879] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,062] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,245] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,397] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,550] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,733] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,886] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,252] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,435] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,740] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.971,771] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.971,801] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.971,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,320] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,412] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.972,442] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
