*** Booting Zephyr OS build v4.0.0-3538-g2a6e5902cc73 ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.251,007] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.255,035] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.255,035] <inf> fs_nvs: alloc wra: 5, a00
[00:00:00.255,065] <inf> fs_nvs: data wra: 5, 6a0
[00:00:00.255,126] <dbg> bttester: tester_init: Initializing tester
[00:00:06.508,728] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.513,214] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.513,366] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.513,549] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.513,732] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.513,885] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.514,038] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.514,221] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.514,373] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.514,526] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.514,739] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.514,923] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.515,106] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.515,289] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.515,411] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.515,441] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.515,472] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.515,563] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.515,747] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.515,991] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.516,082] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:06.516,113] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.551,208] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.551,239] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.616,027] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.616,058] <wrn> bttester_mesh: Loading default comp data
[00:00:06.616,271] <wrn> bt_mesh_access: Unused space in relation list: 4
[00:00:07.053,466] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:07.107,055] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:07.107,086] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:07.160,736] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.271,484] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.271,545] <dbg> bttester_mesh: config_prov: 
[00:00:12.271,545] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.277,008] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.277,038] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:12.453,826] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.454,010] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.454,193] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:12.454,223] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:12.454,284] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.466,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
