[00:00:18.111,663] <dbg> bttester: tester_event: service 0x03 opcode 0x82
[00:00:18.113,159] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x08
[00:00:18.113,189] <dbg> bttester: tester_event: service 0x01 opcode 0x83
*** Booting Zephyr OS build v4.0.0-3538-g2a6e5902cc73 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:06.006,134] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.010,375] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,559] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,711] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,894] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,077] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,230] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,383] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,718] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,901] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,084] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,268] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,451] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,573] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.012,603] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.012,634] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.012,725] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,908] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,092] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,275] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,488] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,702] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,916] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.013,946] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.013,977] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.014,007] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.064,025] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.064,025] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.100,524] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.619,903] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x05 index 0x00
[00:00:06.619,934] <dbg> bttester: tester_rsp_with_index: service 0x03 opcode 0x05 index 0x00 status 0x00
