[00:00:21.254,913] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.255,035] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.255,279] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.255,462] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.255,676] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.256,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.256,317] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.260,192] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.260,375] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.260,559] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.260,772] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:21.261,047] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-2762-g99a503e6613b ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:06.081,298] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.085,266] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.085,449] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.085,632] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.085,815] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.085,968] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.086,120] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.086,303] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.086,456] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.086,608] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.086,791] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.086,975] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.087,158] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.087,310] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.087,432] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.087,463] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.087,493] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.087,585] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.087,768] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.087,951] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.088,104] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.088,287] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.088,531] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.088,714] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.088,775] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.088,806] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.088,806] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.093,414] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.093,444] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.116,333] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.116,363] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.128,509] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.128,540] <wrn> bttester_mesh: Loading default comp data
[00:00:06.128,814] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.554,016] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.578,399] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
