*** Booting Zephyr OS build v4.0.0-3538-g2a6e5902cc73 ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.250,946] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.255,584] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.255,584] <inf> fs_nvs: alloc wra: 1, b10
[00:00:00.255,615] <inf> fs_nvs: data wra: 1, 4d8
[00:00:00.255,676] <dbg> bttester: tester_init: Initializing tester
[00:00:05.955,505] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.959,686] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,838] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,021] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,205] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,388] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,540] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,693] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,845] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,029] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,212] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,395] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,578] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,761] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,883] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.961,914] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.961,944] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.962,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,219] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,463] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,554] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.962,585] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.978,393] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.978,424] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.036,010] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.036,041] <wrn> bttester_mesh: Loading default comp data
[00:00:06.036,285] <wrn> bt_mesh_access: Unused space in relation list: 3
[00:00:06.471,893] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.518,005] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.518,035] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.600,433] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.672,210] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.672,271] <dbg> bttester_mesh: config_prov: 
[00:00:12.672,271] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.685,729] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.685,760] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:12.868,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.868,530] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.868,743] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:12.868,774] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:12.868,835] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.881,652] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.881,835] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.882,446] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.882,781] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.882,965] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.883,270] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.883,422] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:12.883,453] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:12.883,911] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.884,582] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.884,796] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.888,671] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.888,854] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.889,038] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.889,221] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.889,556] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.969,940] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x05 index 0x00
[00:00:12.969,970] <dbg> bttester_mesh: reset: 
[00:00:12.970,184] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.859,313] <dbg> bttester_mesh: prov_reset: 
[00:00:13.859,436] <inf> bt_mesh_provisionee: Device UUID: 25dd047f-19da-40d0-80d5-81602b763c67
[00:00:13.867,584] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.867,767] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.868,011] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.868,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.868,591] <inf> bt_mesh_provisionee: Device UUID: 25dd047f-19da-40d0-80d5-81602b763c67
[00:00:13.868,621] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x05 index 0x00 status 0x00
[00:00:13.870,239] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.870,391] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.870,605] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.870,788] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.871,154] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.873,657] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.873,901] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.874,114] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.874,328] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.874,633] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.874,877] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.944,824] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.945,037] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.945,251] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.005,371] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.005,523] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.005,737] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.005,920] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.006,195] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.870,666] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.870,788] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.871,093] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.871,276] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.871,490] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.871,826] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.872,100] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.921,051] <wrn> net_buf: Timeout discarded. No blocking in syswq
