*** Booting Zephyr OS build v3.7.0-3588-gd11997dbcf2f ***
[00:00:00.253,265] <dbg> bttester: tester_init: Initializing tester
[00:00:06.078,826] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.078,887] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.078,918] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.080,963] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.080,993] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.081,024] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:10.197,601] <dbg> bttester_gap: set_extended_advertising: ext adv settings: 1
[00:00:17.859,985] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:35.711,181] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000ecac dir 1
[00:00:35.711,212] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:35.711,242] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:35.711,273] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:35.711,303] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:35.711,303] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:35.711,334] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:35.711,364] <dbg> bttester_bap_unicast: print_cb: 
                                               28 00                                            |(.               
[00:00:35.711,395] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:35.711,395] <dbg> bttester_bap_unicast: print_cb: 
                                               06 00 00 00                                      |....             
[00:00:35.711,425] <dbg> bttester_bap_unicast: print_codec_cfg:   Frequency: 16000 Hz
[00:00:35.711,456] <dbg> bttester_bap_unicast: print_codec_cfg:   Frame Duration: 10000 us
[00:00:35.711,486] <dbg> bttester_bap_unicast: print_codec_cfg:   Channel allocation: 0x6
[00:00:35.711,486] <dbg> bttester_bap_unicast: print_codec_cfg:   Octets per frame: 40 (negative means value not pressent)
[00:00:35.711,517] <dbg> bttester_bap_unicast: print_codec_cfg:   Frames per SDU: 1
[00:00:35.711,547] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config stream 0x20005d60
[00:00:35.711,822] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000ee8c dir 2
[00:00:35.711,853] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:35.711,853] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:35.711,883] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:35.711,914] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:35.711,944] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:35.711,944] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:35.711,975] <dbg> bttester_bap_unicast: print_cb: 
                                               28 00                                            |(.               
[00:00:35.712,005] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:35.712,005] <dbg> bttester_bap_unicast: print_cb: 
