*** Booting Zephyr OS build v4.0.0-3953-g35abb312849e ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.250,976] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.255,676] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.255,676] <inf> fs_nvs: alloc wra: 1, b90
[00:00:00.255,706] <inf> fs_nvs: data wra: 1, 514
[00:00:00.255,767] <dbg> bttester: tester_init: Initializing tester
[00:00:05.979,522] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.985,595] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.985,626] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.985,656] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.986,083] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.986,083] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.023,132] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.023,162] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.070,373] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.070,404] <wrn> bttester_mesh: Loading default comp data
[00:00:06.070,617] <wrn> bt_mesh_access: Unused space in relation list: 5
[00:00:06.505,523] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.527,069] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.527,099] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.569,244] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.655,426] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.655,456] <dbg> bttester_mesh: config_prov: 
