[00:00:34.790,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.791,015] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.791,259] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.791,442] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.791,656] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.792,022] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.792,266] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.796,142] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.796,325] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.796,508] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.796,691] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:34.796,997] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.251,007] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.255,035] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.255,035] <inf> fs_nvs: alloc wra: 3, a28
[00:00:00.255,035] <inf> fs_nvs: data wra: 3, 63c
[00:00:00.255,126] <dbg> bttester: tester_init: Initializing tester
[00:00:05.983,001] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.987,365] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,548] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,701] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,884] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.988,067] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.988,220] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.988,372] <wrn> net_buf: Timeout discarded. No blocking in syswq
