*** Booting Zephyr OS build zephyr-v3.5.0-1863-g23324fc5bae4 ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:07.148,101] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:07.148,132] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:07.148,162] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.5 Build 99
[00:00:07.150,329] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:07.150,360] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:07.150,390] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:14.055,114] <dbg> bttester_bap: broadcast_sink_setup: 
[00:00:14.151,275] <dbg> bttester_bap: broadcast_scan_start: 
[00:00:14.300,079] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:14.726,287] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:15.019,439] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:15.325,683] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:15.381,072] <dbg> bttester_bap: baa_check: Found BAA with ID 0x862885, addr C0:07:E8:79:0D:90 (public), sid 0x00, inter
[00:00:15.720,062] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:16.216,308] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:16.406,463] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:16.821,319] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:17.116,333] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:17.416,320] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:17.835,144] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.129,425] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.326,324] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:18.626,464] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:19.036,315] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
[00:00:19.459,472] <dbg> bttester_bap: baa_check: Found BAA with ID 0x849FFE, addr F6:B1:5F:C9:37:A1 (random), sid 0x00, inter
