[00:00:46.202,911] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.203,033] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.203,277] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.203,460] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.203,674] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.204,101] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.204,345] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.208,221] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.208,404] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.208,587] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.208,801] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.209,075] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.976,562] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.980,773] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,957] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,109] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,323] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,475] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,628] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,811] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,116] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,330] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,513] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,696] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,879] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,001] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.983,032] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.983,062] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.983,154] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,337] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,703] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,130] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,344] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.984,375] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.984,405] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.984,436] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.029,907] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.029,937] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.084,075] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.084,106] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.099,945] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.099,975] <wrn> bttester_mesh: Loading default comp data
[00:00:06.100,250] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.536,499] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.571,685] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:13.981,994] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.982,025] <dbg> bttester_mesh: config_prov: 
[00:00:13.982,055] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:13.994,232] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:13.994,262] <dbg> bttester_mesh: start: 
[00:00:13.994,384] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:13.994,506] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.994,659] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.995,330] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.995,513] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.995,849] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.996,154] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:13.996,154] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:13.996,978] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.997,558] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.997,772] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.997,955] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.998,260] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.998,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.998,809] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.998,992] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.999,206] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.999,481] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.999,725] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.020,263] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.020,294] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:14.047,027] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.047,210] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.047,454] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.102,172] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.102,355] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.102,600] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.157,958] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.158,142] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.158,355] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.158,538] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.158,813] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.159,088] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.159,362] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.159,515] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.159,729] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.159,912] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.160,247] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.177,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.178,039] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.178,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.178,466] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.178,680] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.179,077] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.179,321] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.232,208] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.232,360] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.232,574] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.232,788] <wrn> net_buf: Timeout discarded. No blocking in syswq
