[00:00:15.520,599] <dbg> bttester: tester_event: service 0x03 opcode 0x82
[00:00:15.522,094] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x08
[00:00:15.522,125] <dbg> bttester: tester_event: service 0x01 opcode 0x83
*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:06.016,540] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.020,660] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,843] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,996] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,209] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,362] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,514] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,697] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,850] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,003] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,216] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,399] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,583] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,766] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,888] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.022,918] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.022,949] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.023,040] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.023,223] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.023,406] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.023,590] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.023,773] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,017] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.024,230] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.024,261] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.024,291] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.024,322] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.065,246] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.065,246] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.124,755] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.614,318] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x05 index 0x00
[00:00:06.614,349] <dbg> bttester: tester_rsp_with_index: service 0x03 opcode 0x05 index 0x00 status 0x00
[00:00:08.685,302] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:08.685,882] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.686,004] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:08.740,997] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:08.740,997] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:08.742,675] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.742,828] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.742,919] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.743,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:10.692,962] <dbg> bttester: cmd_handler: cmd service 0x03 opcode 0x02 index 0x00
[00:00:10.782,196] <dbg> bttester: tester_event: service 0x03 opcode 0x81
[00:00:13.902,130] <err> bt_l2cap: Credits overflow
[00:00:14.022,155] <dbg> bttester: tester_event: service 0x03 opcode 0x82
