[00:00:25.385,986] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.386,108] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.386,352] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.386,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.386,749] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.387,176] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.387,420] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.391,296] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.391,479] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.391,662] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.391,876] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.392,150] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-2578-g6b65d60d49a0 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:06.006,774] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.010,955] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,108] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,291] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,474] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,627] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,810] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,962] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,115] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,298] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,481] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,634] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,817] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,969] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,092] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.013,122] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.013,153] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.013,244] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,427] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,610] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,793] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,946] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.014,190] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.014,373] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.014,434] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.014,465] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.014,465] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.050,354] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.050,384] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.087,219] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.087,249] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.126,647] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.126,647] <wrn> bttester_mesh: Loading default comp data
[00:00:06.126,922] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.558,441] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.588,623] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:13.981,872] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.981,903] <dbg> bttester_mesh: config_prov: 
[00:00:13.981,933] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:14.025,695] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:14.025,756] <dbg> bttester_mesh: start: 
[00:00:14.025,848] <inf> bt_mesh_provisionee: Device UUID: 4f76ee81-45a3-462b-bee9-ecb45c08f6c3
[00:00:14.025,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.026,123] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.026,763] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.026,947] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.027,252] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.027,557] <inf> bt_mesh_provisionee: Device UUID: 4f76ee81-45a3-462b-bee9-ecb45c08f6c3
[00:00:14.027,587] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:14.028,320] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.028,900] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.029,113] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.029,296] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.029,602] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.029,846] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.030,120] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.030,303] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.030,487] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.031,066] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.031,311] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.082,916] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.083,129] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.083,374] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.120,971] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.121,002] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:14.131,591] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.131,744] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.131,958] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.132,141] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.132,415] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,191] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,435] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,832] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.166,168] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.166,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.216,674] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.216,827] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.217,041] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.217,254] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.217,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.245,635] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.245,758] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.246,002] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.246,185] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.246,398] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.246,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.247,131] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.294,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.294,189] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.294,403] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.294,616] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.294,891] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.322,998] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.323,120] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.323,394] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.323,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.323,791] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.324,249] <wrn> net_buf: Timeout discarded. No blocking in syswq
