[00:00:35.533,233] <dbg> bttester_mesh: fault_get_cur: 
[00:00:35.534,423] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.534,515] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.534,759] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.534,942] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.535,156] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.535,583] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.535,827] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.539,703] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.539,886] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.540,100] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.540,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.540,588] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.058,410] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.058,532] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.058,807] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.058,990] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.059,204] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.059,600] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.059,875] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.063,720] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.063,873] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.064,086] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.064,270] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.064,544] <wrn> net_buf: Timeout discarded. No blocking in syswq
*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.994,598] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.998,870] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,023] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,206] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,420] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,572] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,725] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,877] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,061] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,213] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,427] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,610] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,793] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,976] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,098] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.001,129] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.001,159] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.001,251] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,434] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,617] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,800] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,983] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.002,227] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.002,441] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.002,471] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.002,502] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.002,532] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.047,760] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.047,790] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.075,561] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.075,592] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.112,213] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.112,213] <wrn> bttester_mesh: Loading default comp data
[00:00:06.112,487] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.548,919] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.596,343] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:13.981,811] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.981,842] <dbg> bttester_mesh: config_prov: 
[00:00:13.981,872] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:14.003,326] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:14.003,387] <dbg> bttester_mesh: start: 
[00:00:14.003,479] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:14.003,601] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.003,784] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.004,364] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.004,547] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.004,852] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.005,157] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:14.005,187] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:14.005,981] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.006,561] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.006,774] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.006,958] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.007,263] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.007,537] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.007,812] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.007,995] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.008,178] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.008,605] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.008,850] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.026,245] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.026,275] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:14.060,363] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.060,546] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.060,791] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.116,027] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.116,210] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.116,455] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.163,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.164,001] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.164,215] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.164,398] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.164,672] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.164,947] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,222] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,374] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,588] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.165,771] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.166,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.205,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.205,902] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.206,146] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.206,329] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.206,542] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.206,909] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.207,153] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.255,218] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.255,371] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.255,584] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.255,798] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.256,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.288,177] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.288,299] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.288,574] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.288,757] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.288,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.289,428] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.289,672] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.293,518] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.293,670] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.293,884] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.294,097] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.294,372] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.486,846] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.486,968] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.487,457] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.487,640] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.487,854] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.488,281] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.488,525] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.535,552] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.535,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.535,919] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.536,132] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.536,407] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.821,990] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.822,113] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.822,631] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.822,784] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.822,998] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.823,455] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.823,699] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.878,387] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.878,570] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.878,784] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.878,967] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.879,272] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.920,288] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.920,410] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.920,654] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.920,837] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.921,081] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.921,447] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.921,691] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.925,720] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.925,872] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.926,086] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.926,300] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.926,574] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.961,669] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.961,791] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.962,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.962,219] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.962,432] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.962,829] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.963,073] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.967,193] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.967,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.967,559] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.967,773] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.968,048] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.016,143] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.016,265] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.016,540] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.016,723] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.016,937] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.017,486] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.017,730] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.021,728] <wrn> net_buf: Timeout discarded. No blocking in syswq
