*** Booting Zephyr OS build v3.7.0-4790-g6f64f7755796 ***
[00:00:00.389,984] <dbg> bttester: tester_init: Initializing tester
[00:00:37.189,147] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.189,331] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.189,514] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.189,727] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.189,880] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.190,063] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.190,246] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.190,399] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.190,582] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.190,734] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.190,948] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.191,131] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.191,314] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.191,406] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:37.191,436] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:37.191,497] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:37.191,589] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.191,772] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.191,955] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.192,138] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.192,321] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.192,565] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.192,779] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:37.192,810] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:37.192,840] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:37.366,210] <wrn> bttester_mesh: Loading default comp data
[00:00:37.366,455] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:57.858,795] <dbg> bttester_mesh: config_prov: 
[00:00:57.889,678] <dbg> bttester_mesh: start: 
[00:00:57.889,801] <inf> bt_mesh_provisionee: Device UUID: 96e33e36-408d-4f5c-bca5-2414bff76436
[00:00:57.889,923] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.890,106] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.890,777] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.890,991] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.891,265] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.891,571] <inf> bt_mesh_provisionee: Device UUID: 96e33e36-408d-4f5c-bca5-2414bff76436
[00:00:57.892,883] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.893,035] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.893,218] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.917,999] <dbg> bttester_mesh: provision_node: 
[00:00:57.918,029] <inf> bt_mesh_main: Primary Element: 0x0003
[00:00:57.927,551] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0003
[00:00:57.949,432] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:57.949,584] <wrn> net_buf: Timeout discarded. No blocking in syswq
