*** Booting Zephyr OS build v4.0.0-rc2-191-gdc2c13bebdba ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:06.031,494] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.069,458] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.069,488] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.069,519] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:06.071,472] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.071,685] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.071,716] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.071,746] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.071,746] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.125,854] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:06.389,434] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.389,495] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.436,920] <dbg> bttester: cmd_handler: cmd service 1 opcode 8 index 0
[00:00:06.520,812] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.521,575] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.537,811] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.537,841] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.585,357] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.585,510] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:14.667,022] <dbg> bttester: cmd_handler: cmd service 1 opcode 14 index 0
[00:00:14.667,053] <wrn> bt_conn: *conn should be unreferenced and initialized to NULL
[00:00:14.668,060] <dbg> bttester: tester_rsp_with_index: service 1 opcode 14 index 0 status 0
[00:00:14.725,158] <dbg> bttester: tester_event: service 1 opcode 130
[00:00:14.726,715] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:15.868,225] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.317,077] <dbg> bttester: tester_event: service 1 opcode 137
[00:00:16.356,536] <dbg> bttester: cmd_handler: cmd service 14 opcode 2 index 0
[00:00:16.356,658] <dbg> bttester: tester_rsp_with_index: service 14 opcode 2 index 0 status 0
[00:00:16.587,646] <dbg> bttester_bap_unicast: pac_record_cb: 
[00:00:16.587,646] <dbg> bttester_bap_unicast: pac_record_cb: Discovered codec capabilities 0x2001fdc0
[00:00:16.587,677] <dbg> bttester_bap_unicast: print_codec_cap: codec_cap 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:16.587,677] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 2
[00:00:16.587,707] <dbg> bttester_bap_unicast: print_cb: 
                                               01 00                                            |..               
[00:00:16.587,738] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:16.587,768] <dbg> bttester_bap_unicast: print_cb: 
                                               02                                               |.                
[00:00:16.587,799] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 1
