*** Booting Zephyr OS build v3.7.0-3180-geb98483769b5 ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:06.076,782] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.076,843] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.076,843] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.079,132] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.079,162] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.079,193] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:24.742,736] <dbg> bttester_csip: csip_discover_cb: 
[00:00:24.742,797] <dbg> bttester_csip: csip_discover_cb: Found 1 sets on member[0]
[00:00:24.745,147] <dbg> bttester_csip: csip_discover_cb: CSIS[0]: 0x200154f0
[00:00:24.745,178] <dbg> bttester_csip: csip_discover_cb: Rank: 1
[00:00:24.745,178] <dbg> bttester_csip: csip_discover_cb: Set Size: 2
[00:00:24.745,178] <dbg> bttester_csip: csip_discover_cb: Lockable: 1
[00:00:26.542,755] <dbg> bttester_csip: csip_discover_cb: 
[00:00:26.542,785] <dbg> bttester_csip: csip_discover_cb: Found 1 sets on member[0]
[00:00:26.545,166] <dbg> bttester_csip: csip_discover_cb: CSIS[0]: 0x200154f0
[00:00:26.545,166] <dbg> bttester_csip: csip_discover_cb: Rank: 1
[00:00:26.545,166] <dbg> bttester_csip: csip_discover_cb: Set Size: 2
[00:00:26.545,196] <dbg> bttester_csip: csip_discover_cb: Lockable: 1
