*** Booting Zephyr OS build v3.7.0-2359-ga80af336c23f ***
[00:00:00.253,356] <dbg> bttester: tester_init: Initializing tester
[00:00:06.101,348] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.101,379] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.101,409] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.103,668] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.103,698] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.103,729] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.420,257] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:16.731,109] <dbg> bt_vcp_vol_ctlr: primary_discover_func: [ATTRIBUTE] handle 0x00D0
[00:00:16.731,140] <dbg> bt_vcp_vol_ctlr: primary_discover_func: Primary discover complete
[00:00:16.831,146] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00D3
[00:00:16.831,146] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Volume state
[00:00:16.831,268] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Subscribed to handle 0x00D3
[00:00:16.831,298] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00D6
[00:00:16.831,298] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Flags
[00:00:16.831,359] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Subscribed to handle 0x00D6
[00:00:16.831,390] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00D9
[00:00:16.831,390] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Control Point
[00:00:17.131,072] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Setup complete for vol_ctlr
[00:00:17.431,121] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: [ATTRIBUTE] handle 0x00D1
[00:00:17.431,152] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Include UUID 1843
[00:00:18.131,072] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: [ATTRIBUTE] handle 0x00D2
[00:00:18.131,164] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Include UUID 1845
[00:00:18.831,054] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Discover include complete for vol_ctlr: 1 AICS and 1 VOCS
[00:00:18.831,085] <dbg> bttester_vcp: vcp_vol_ctlr_discover_cb: Discovery done with 1 VOCS, 1 AICS
[00:00:19.945,373] <dbg> bttester_aics: aics_gain_setting_prop_get: AICS Gain settings properties
[00:00:20.032,348] <dbg> bttester_aics: aics_gain_setting_cb: AICS gain setting callback (0)
