*** Booting Zephyr OS build v4.0.0-1231-g6c7b38f5fa1c ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:06.048,614] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.076,507] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.076,538] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.076,538] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.078,521] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.078,704] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.078,735] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.078,765] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.078,796] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.096,008] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.528,015] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.528,076] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.571,289] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.650,054] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.650,787] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.703,155] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.703,186] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.745,727] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.745,880] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.798,614] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x21 index 0x00
[00:00:06.798,645] <dbg> bttester_gap: set_extended_advertising: ext adv settings: 1
[00:00:06.892,211] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:13.170,318] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:13.170,349] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:13.171,844] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:13.172,698] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:13.967,773] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:16.923,950] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.223,968] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:18.422,180] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:30.573,089] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000fd5c dir 2
[00:00:30.573,120] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:30.573,150] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:30.573,181] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:30.573,181] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:30.573,211] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:30.573,242] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:30.573,272] <dbg> bttester_bap_unicast: print_cb: 
                                               28 00                                            |(.               
[00:00:30.573,272] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:30.573,303] <dbg> bttester_bap_unicast: print_cb: 
                                               01 00 00 00                                      |....             
[00:00:30.573,333] <dbg> bttester_bap_unicast: print_codec_cfg:   Frequency: 16000 Hz
[00:00:30.573,364] <dbg> bttester_bap_unicast: print_codec_cfg:   Frame Duration: 10000 us
[00:00:30.573,364] <dbg> bttester_bap_unicast: print_codec_cfg:   Channel allocation: 0x1
[00:00:30.573,394] <dbg> bttester_bap_unicast: print_codec_cfg:   Octets per frame: 40 (negative means value not pressent)
[00:00:30.573,394] <dbg> bttester_bap_unicast: print_codec_cfg:   Frames per SDU: 1
[00:00:30.573,425] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config stream 0x20007178
[00:00:30.573,699] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:30.573,791] <dbg> bttester_bap_unicast: stream_configured: Configured stream 0x20007178, ep 3, dir 2
[00:00:30.573,791] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:30.872,589] <dbg> bttester_bap_unicast: lc3_qos: QoS: stream 0x20007178 qos 0x20020434
[00:00:30.872,650] <dbg> bttester_bap_unicast: print_qos: QoS: interval 10000 framing 0x00 phy 0x02 sdu 40 rtn 2 latency 10 pd
[00:00:30.872,985] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:30.873,077] <dbg> bttester_bap_unicast: stream_qos_set: QoS set stream 0x20007178
[00:00:30.873,077] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:31.172,576] <dbg> bttester_bap_unicast: lc3_enable: Metadata: stream 0x20007178 meta_len 4
[00:00:31.172,882] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:31.172,973] <dbg> bttester_bap_unicast: stream_enabled: Enabled stream 0x20007178
[00:00:31.173,004] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:31.472,564] <dbg> bttester_bap_unicast: lc3_metadata: Metadata: stream 0x20007178 meta_count 4
[00:00:31.472,900] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:31.472,991] <dbg> bttester_bap_unicast: stream_metadata_updated: Metadata updated stream 0x20007178
[00:00:31.472,991] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:32.972,869] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:32.972,930] <dbg> bttester: tester_event: service 0x01 opcode 0x83
[00:00:32.973,968] <dbg> bttester_bap_unicast: disconnected: Disconnected: C0:07:E8:1C:28:DF (public) (reason 0x13)
[00:00:32.974,029] <dbg> bttester_bap_unicast: stream_released: Released stream 0x20007178
