*** Booting Zephyr OS build v4.0.0-3538-g2a6e5902cc73 ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.250,976] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.256,530] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.256,561] <inf> fs_nvs: alloc wra: 0, e60
[00:00:00.256,561] <inf> fs_nvs: data wra: 0, 278
[00:00:00.256,622] <dbg> bttester: tester_init: Initializing tester
[00:00:06.010,070] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.014,343] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.014,495] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.014,678] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.014,862] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.015,014] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.015,197] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.015,350] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.015,502] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.015,655] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.015,869] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.016,052] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.016,235] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.016,387] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.016,510] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.016,540] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.016,571] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.016,662] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.016,876] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.017,120] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.017,211] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:06.017,242] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.068,634] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.068,664] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.127,716] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.127,716] <wrn> bttester_mesh: Loading default comp data
[00:00:06.127,929] <wrn> bt_mesh_access: Unused space in relation list: 5
[00:00:06.563,537] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.654,693] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.654,724] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.707,489] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.808,837] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.808,868] <dbg> bttester_mesh: config_prov: 
[00:00:11.808,898] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.815,612] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.815,643] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:11.855,163] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.855,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.855,529] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:11.855,560] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:11.855,621] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:11.861,419] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.861,602] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.862,243] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.862,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.862,762] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.863,037] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.863,250] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:11.863,281] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:11.863,769] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:11.864,440] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.864,654] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.868,499] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.868,652] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.868,865] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.869,049] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.869,354] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.948,455] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x05 index 0x00
[00:00:11.948,486] <dbg> bttester_mesh: reset: 
[00:00:11.948,699] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.492,614] <dbg> bttester_mesh: prov_reset: 
[00:00:12.492,706] <inf> bt_mesh_provisionee: Device UUID: 25dd047f-19da-40d0-80d5-81602b763c67
[00:00:12.494,354] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.494,506] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.494,781] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.495,086] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.495,361] <inf> bt_mesh_provisionee: Device UUID: 25dd047f-19da-40d0-80d5-81602b763c67
[00:00:12.495,391] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x05 index 0x00 status 0x00
[00:00:12.497,009] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.497,161] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.497,375] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.497,558] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.497,924] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.499,267] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.499,542] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.499,725] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.499,908] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.500,427] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.500,671] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.545,532] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.545,745] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.545,989] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.604,125] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.604,278] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.604,492] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.604,675] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.604,949] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.820,922] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:15.820,953] <dbg> bttester: tester_event: service 0x04 opcode 0x84
