*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.896,148] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.901,855] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.901,885] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.901,916] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.902,801] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.902,893] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.902,923] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.902,954] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.902,984] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.918,914] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:05.941,589] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.527,557] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.527,618] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.591,186] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.623,199] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.623,229] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.623,260] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.667,297] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.667,327] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.756,713] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.756,744] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.756,774] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.834,197] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.834,228] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.862,396] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.862,426] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.862,457] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.919,311] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.919,342] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.009,796] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.009,826] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.009,857] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.108,459] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.108,520] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.171,173] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.171,203] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.171,234] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.240,081] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.240,112] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.291,473] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x07 index 0x00
[00:00:15.426,513] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:15.427,185] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:15.452,697] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:15.452,697] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:16.482,482] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0f index 0x00
[00:00:16.482,727] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0f index 0x00 status 0x00
[00:00:16.504,211] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x16
[00:00:16.504,241] <dbg> bttester: tester_event: service 0x01 opcode 0x83
