[00:00:00.936,828] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:00.942,840] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:00.942,871] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:00.942,901] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:00.943,878] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:00.943,908] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:00.943,939] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:00.943,969] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:00.971,038] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:01.019,653] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:01.019,683] <wrn> bttester_core: unknown id: 0x04
[00:00:01.019,714] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x01
*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
